Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s
Ishan Kishan ,27,24,2,933,210,42.4,913,102.19,1,7
Virat Kohli ,286,274,43,13437,183,58.16,14341,93.69,48,69
Shreyas Iyer,52,47,5,1931,113,45.97,1982,97.42,3,15
Rishabh Pant,30,26,1,865,125,34.6,811,106.65,1,5
KL Rahul,66,62,13,2468,112,50.36,2827,87.3,6,16
Sanju Samson,13,12,5,390,86,55.71,375,104,0,3
Rohit Sharma ,256,248,36,10423,264,49.16,11403,91.4,31,53
Shubman Gill,38,38,6,2012,208,62.87,1961,102.6,6,10
Suryakumar Yadav,31,29,4,669,72,26.76,635,105.35,0,4
Suryakumar Yadav,31,29,4,669,72,26.76,635,105.35,0,4
SR Tendulkar (INDIA),463,452,41,18426,200,44.83,21367,86.23,49,96
KC Sangakkara (Asia/ICC/SL),404,380,41,14234,169,41.98,18048,78.86,25,93
RT Ponting (AUS/ICC),375,365,39,13704,164,42.03,17046,80.39,30,82
ST Jayasuriya (Asia/SL),445,433,18,13430,189,32.36,14725,91.2,28,68
DPMD Jayawardene (Asia/SL),448,418,39,12650,144,33.37,16020,78.96,19,77
Inzamam-ul-Haq (Asia/PAK),378,350,53,11739,137,39.52,15812,74.24,10,83
V Kohli (INDIA),242,233,39,11609,183,59.84,12445,93.28,43,55
JH Kallis (Afr/ICC/SA),328,314,53,11579,139,44.36,15885,72.89,17,86
SC Ganguly (Asia/INDIA),311,300,23,11363,183,41.02,15416,73.7,22,72
R Dravid (Asia/ICC/INDIA),344,318,40,10889,153,39.16,15284,71.24,12,83
MS Dhoni (Asia/INDIA),350,297,84,10773,183,50.57,12303,87.56,10,73
CH Gayle (ICC/WI),301,294,17,10480,215,37.83,12019,87.19,25,54
BC Lara (ICC/WI),299,289,32,10405,169,40.48,13086,79.51,19,63
TM Dilshan (SL),330,303,41,10290,161,39.27,11933,86.23,22,47
Mohammad Yousuf (Asia/PAK),288,273,40,9720,141,41.71,12942,75.1,15,64
