Name,Balls,Runs,Wkts,Ave,Econ
BP Patterson (WI),3050,2206,90,24.51,4.33
BL Cairns (NZ),4015,2717,89,30.52,4.06
GH Dockrell (IRE),4232,3327,89,37.38,4.71
Saleem Malik (PAK),3505,2959,89,33.24,5.06
MN Samuels (WI),5091,4127,89,46.37,4.86
TM Alderman (AUS),3371,2056,88,23.36,3.65
GF Lawson (AUS),4259,2592,88,29.45,3.65
GJ Whittall (ZIM),4060,3481,88,39.55,5.14
AME Roberts (WI),3123,1771,87,20.35,3.4
MM Patel (INDIA),3154,2603,86,30.26,4.95
Aamer Sohail (PAK),4836,3703,85,43.56,4.59
YS Chahal (INDIA),2659,2246,85,26.42,5.06
IJ Harvey (AUS),3279,2577,85,30.31,4.71
RM Hogg (AUS),3677,2418,85,28.44,3.94
JR Ratnayeke (SL),3573,2866,85,33.71,4.81
ME Waugh (AUS),3687,2938,85,34.56,4.78
MM Ali (ENG),4654,4089,84,48.67,5.27
CD Collymore (WI),4074,2924,83,35.22,4.3
Mohammad Irfan (PAK),3109,2549,83,30.71,4.91
PV Simmons (WI),3880,2876,83,34.65,4.44
Hasan Ali (PAK),2548,2381,82,29.03,5.6
MJ McClenaghan (NZ),2336,2313,82,28.2,5.94
CG Rackemann (AUS),2791,1833,82,22.35,3.94
JEC Franklin (NZ),3848,3354,81,41.4,5.22
Mohammad Amir (PAK),3013,2400,81,29.62,4.77
DJG Sammy (WI),4956,3851,81,47.54,4.66
RGD Willis (ENG),3595,1968,80,24.6,3.28
CR Matthews (SA),3003,1975,79,25,3.94
A Ranatunga (SL),4710,3757,79,47.55,4.78
AJ Bichel (AUS),3257,2463,78,31.57,4.53
IDR Bradshaw (WI),3172,2299,78,29.47,4.34
PJ Ongondo (Afr/KENYA),3102,2350,78,30.12,4.54
RMH Binny (INDIA),2957,2260,77,29.35,4.58
Iftikhar Anjum (PAK),2960,2430,77,31.55,4.92
P Kumar (INDIA),3242,2774,77,36.02,5.13
R McLaren (SA),2403,2102,77,27.29,5.24
JE Emburey (ENG),3425,2346,76,30.86,4.1
SJ Harmison (ENG),2899,2481,76,32.64,5.13
RD King (WI),2603,1807,76,23.77,4.16
Mahmudullah (BDESH),4090,3527,76,46.4,5.17
RJ Ratnayake (SL),3575,2712,76,35.68,4.55
GB Brent (ZIM),3390,2776,75,37.01,4.91
RJ Peterson (SA),3278,2680,75,35.73,4.9
S Sreesanth (INDIA),2476,2508,75,33.44,6.07
HMRKB Herath (SL),3242,2362,74,31.91,4.37
TJ Murtagh (IRE),3020,2290,74,30.94,4.54
W Watson (NZ),3251,2247,74,30.36,4.14
AR Border (AUS),2661,2071,73,28.36,4.66
RS Kalpage (SL),3960,2975,73,40.75,4.5
S Madan Lal (INDIA),3164,2137,73,29.27,4.05
J Botha (Afr/SA),3823,2916,72,40.5,4.57
GS Chappell (AUS),3108,2097,72,29.12,4.04
JR Hazlewood (AUS),2294,1811,72,25.15,4.73
PL Symcox (SA),3991,2762,72,38.36,4.15
DBL Powell (WI),2850,2239,71,31.53,4.71
Sohail Tanvir (PAK),2949,2566,71,36.14,5.22
SC Williams (ZIM),4080,3300,71,46.47,4.85
EA Brandes (ZIM),2828,2266,70,32.37,4.8
BM McMillan (SA),3623,2589,70,36.98,4.28
NN Odhiambo (KENYA),2808,2585,70,36.92,5.52
AD Russell (WI),2290,2229,70,31.84,5.84
BA Stokes (ENG),2912,2920,70,41.71,6.01
AR Caddick (ENG),2937,1965,69,28.47,4.01
JP Duminy (SA),3513,3143,69,45.55,5.36
SB Joshi (INDIA),3386,2509,69,36.36,4.44
MJ Santner (NZ),3079,2510,69,36.37,4.89
Shafiul Islam (BDESH),2486,2453,69,35.55,5.92
RP Singh (INDIA),2565,2343,69,33.95,5.48
RR Singh (INDIA),3734,2985,69,43.26,4.79
CPH Ramanayake (SL),2864,2049,68,30.13,4.29
HA Varaiya (KENYA),2951,2048,68,30.11,4.16
MA Ealham (ENG),3227,2197,67,32.79,4.08
LH Ferguson (NZ),1902,1719,67,25.65,5.42
JR Hopes (AUS),3157,2384,67,35.58,4.53
MS Kasprowicz (AUS),2225,1674,67,24.98,4.51
Khaled Mahmud (BDESH),3385,2865,67,42.76,5.07
C Sharma (INDIA),2835,2336,67,34.86,4.94
DT Johnston (IRE),2930,2115,66,32.04,4.33
CC Lewis (ENG),2625,1942,66,29.42,4.43
Maninder Singh (INDIA),3133,2066,66,31.3,3.95
T Panyangara (ZIM),3242,3024,65,46.52,5.59
AL Phehlukwayo (SA),2077,1936,65,29.78,5.59
C White (ENG),2364,1726,65,26.55,4.38
A Zampa (AUS),2480,2363,65,36.35,5.71
A Mishra (INDIA),1917,1511,64,23.6,4.72
DJ Nash (NZ),3416,2622,64,40.96,4.6
SM Sharif (SCOT),2129,1776,64,27.75,5
AR Cusack (IRE),1953,1510,63,23.96,4.63
NM Hauritz (AUS),2724,2152,63,34.15,4.74
NL McCullum (NZ),3536,2956,63,46.92,5.01
Mujeeb Ur Rahman (AFG),2153,1414,63,22.44,3.94
AD Mullally (ENG),2699,1728,63,27.42,3.84
SLV Raju (INDIA),2770,2014,63,31.96,4.36
BA Reid (AUS),3250,2203,63,34.96,4.06
Sarfraz Nawaz (PAK),2412,1463,63,23.22,3.63
DE Bollinger (AUS),1942,1482,62,23.9,4.57
SW Tait (AUS),1688,1461,62,23.56,5.19
DT Hondo (ZIM),2381,2171,61,35.59,5.47
DR Smith (WI),2726,2285,61,37.45,5.02
Syed Rasel (BDESH),2657,2051,61,33.62,4.63
MA Wood (ENG),2585,2385,61,39.09,5.53
CJ Anderson (NZ),1485,1502,60,25.03,6.06
FH Edwards (WI),2138,1812,60,30.2,5.08
RM Haq (SCOT),2633,1975,60,32.91,4.5
JC Tredwell (ENG),2104,1666,60,27.76,4.75
ALF de Mel (SL),2735,2237,59,37.91,4.9
NA Foster (ENG),2627,1836,59,31.11,4.19
Gulbadin Naib (AFG),2194,1968,59,33.35,5.38
Hamid Hassan (AFG),1734,1330,59,22.54,4.6
JDS Neesham (NZ),1772,1814,59,30.74,6.14
Shadab Khan (PAK),2088,1750,59,29.66,5.02
Sikandar Raza (ZIM),2846,2269,59,38.45,4.78
Tapash Baisya (BDESH),2608,2452,59,41.55,5.64
KM Jarvis (ZIM),2362,2088,58,36,5.3
HK Olonga (ZIM),2059,1977,58,34.08,5.76
GC Small (ENG),2793,1942,58,33.48,4.17
Mudassar Bukhari (NL),2036,1601,57,28.08,4.71
MJ Clarke (AUS),2585,2146,57,37.64,4.98
GRJ Matthews (AUS),2808,2004,57,35.15,4.28
DS Mohanty (INDIA),1996,1662,57,29.15,4.99
T Mupariwa (ZIM),2019,1690,57,29.64,5.02
Arshad Khan (PAK),2823,1948,56,34.78,4.14
R Telemachus (SA),1918,1565,56,27.94,4.89
XJ Doherty (AUS),2792,2224,55,40.43,4.77
AF Giles (ENG),2856,2069,55,37.61,4.34
Tauseef Ahmed (PAK),3250,2247,55,40.85,4.14
RN ten Doeschate (NL),1580,1327,55,24.12,5.03
JR Thomson (AUS),2696,1942,55,35.3,4.32
JV Coney (NZ),2931,2039,54,37.75,4.17
N Pradeep (SL),1996,1998,54,37,6
HH Pandya (INDIA),2368,2195,54,40.64,5.56
AR Adams (NZ),1885,1643,53,31,5.22
SR Clark (AUS),1829,1477,53,27.86,4.84
Mohammad Naveed (UAE),1938,1757,53,33.15,5.43
LS Pascoe (AUS),1568,1066,53,20.11,4.07
SMSM Senanayake (SL),2358,1874,53,35.35,4.76
GI Allott (NZ),1528,1207,52,23.21,4.73
NM Coulter-Nile (AUS),1678,1555,52,29.9,5.56
KSC de Silva (SL),1619,1323,52,25.44,4.9
DS Lehmann (AUS),1793,1445,52,27.78,4.83
TM Moody (AUS),2797,2014,52,38.73,4.32
KA Pollard (WI),2116,2025,52,38.94,5.74
DJ Willey (ENG),1971,1889,52,36.32,5.75
A Dananjaya (SL),1773,1506,51,29.52,5.09
